1. Какая река своим руслом два раза пересекает воображаемую линию экватора?;Нил;Ганг;+ Конго
2. Чем славится, расположенная в пределах Германии, долина реки Мозель?;+ Виноделием;Сыроварением;Деревообработкой
3. Русло, какой реки отличается максимальной шириной?;Амазонка;Миссисипи;+ Ла-Плата
4. С какой реки начинался старинный купеческий маршрут «из варяг в греки»?;Нева;Онега;+ Волхов
5. Какое название, по указу Екатерины II, присвоили р. Яик, чтобы стереть память о Пугачевском восстании?;+ Урал;Стикс;Ахтуба
6. В какой стране нет ни одной постоянно текущей реки?;Египет;+ Саудовская Аравия;Туркменистан
7. Название, какой шерстяной ткани произошло от наименования реки?;Джерси;+ Твид;Кашемир
8. Для патрулирования вод, какой реки впервые в мире организовали отряд речной полиции?;Сены;Тибра;+ Темзы
9. Чем знаменита река Пьяна, относящаяся к волжскому бассейну?;Это самый короткий приток Волги;Она протекает по подземному туннелю;+ Имеет крайне извилистое русло
10. Какой город был построен в устье Днепра?;Николаев;Одесса;+ Херсон
